names,scores,logfoldchanges,group
Col6a1,0.027670443,6.281827,ABC
Nov,0.027643315,6.820775,ABC
Col6a2,0.027630549,5.6509104,ABC
Foxd1,0.026791574,6.1340065,ABC
Ptgis,0.026447764,6.0808754,ABC
Cdc42ep5,0.024147585,5.774225,ABC
Klf5,0.02346316,5.535242,ABC
Col8a2,0.023361955,7.051721,ABC
H2.Aa,0.022435835,5.7010856,ABC
Gpc3,0.021750176,5.6981735,ABC
Fxyd5,0.021100987,6.824651,ABC
Ppp1r3b,0.0201031,6.0224905,ABC
Wnk4,0.019716112,5.578458,ABC
Asgr1,0.019583799,7.221199,ABC
Smoc2,0.018355338,5.3740697,ABC
Il18bp,0.018114924,4.821664,ABC
Alx3,0.016185354,6.187582,ABC
Slc5a6,0.016170776,4.772791,ABC
Gstm2,0.016006688,5.801312,ABC
Rbp1,0.015523103,6.845407,ABC
Ddr2,0.014647154,5.376887,ABC
Adamts2,0.0143694375,4.8376727,ABC
Slc9b2,0.013923427,5.0769777,ABC
X1810011O10Rik,0.013782205,5.2732124,ABC
Slc16a9,0.013487704,5.3317327,ABC
S100a10,0.013414587,5.6609244,ABC
Clic3,0.013216545,6.4961615,ABC
Aim1,0.012998089,5.3471794,ABC
Stom,0.012974497,5.2682858,ABC
X1500015O10Rik,0.012450289,7.36335,ABC
Fzd7,0.011542401,4.995842,ABC
Smoc1,0.011327129,4.676539,ABC
Sptssb,0.011275387,5.084494,ABC
Mfap2,0.011212242,5.333976,ABC
Sult1a1,0.011127088,5.2192273,ABC
Il17rc,0.010744475,4.6635237,ABC
Itga10,0.010448113,4.7679267,ABC
Igfbp6,0.010362685,6.3579545,ABC
Smim24,0.010170627,4.63333,ABC
Anpep,0.010122949,5.575204,ABC
Gjb2,0.009941857,6.5860667,ABC
Myzap,0.009757206,5.56574,ABC
Slco2a1,0.009495348,5.148158,ABC
Htra3,0.00936694,5.3604655,ABC
Lox,0.008770343,5.9191113,ABC
Ctxn3,0.008753854,5.3194594,ABC
Ntn5,0.0087420605,4.9616294,ABC
Thbs2,0.008644652,4.8597527,ABC
Anxa2,0.008340697,5.7826114,ABC
Pqlc3,0.008061212,5.1928325,ABC
Efna4,0.008046438,4.7922583,ABC
Lbp,0.008023556,6.039158,ABC
X2200002D01Rik,0.007976343,5.5264807,ABC
Emilin1,0.007947875,5.2909274,ABC
Gm3336,0.007777214,5.2136626,ABC
Gas1,0.007675031,5.0112357,ABC
Dpp4,0.0072460365,4.708561,ABC
Gulp1,0.0070928326,4.6471467,ABC
Serpinb9,0.007007674,4.5464034,ABC
Itih2,0.006968336,6.2573013,ABC
Rfk,0.006831269,4.335456,ABC
Emp3,0.0068223695,5.581071,ABC
Gxylt2,0.0067876307,4.7292213,ABC
Slco4a1,0.006515422,4.977648,ABC
Il17re,0.006514431,4.583674,ABC
Xdh,0.006415659,5.0396047,ABC
Adgrv1,0.00610461,4.4160995,ABC
Pcolce,0.0059839557,5.843779,ABC
Slc16a11,0.0058396095,4.2889924,ABC
Ctf1,0.0058363774,4.279007,ABC
Fn1,0.0057780845,6.2228894,ABC
Twist1,0.0057732253,4.9073157,ABC
Plscr1,0.0056946795,4.8301625,ABC
Pde6a,0.0056845783,4.331107,ABC
Tcea3,0.005656921,5.1937633,ABC
Cilp2,0.005572634,4.5126896,ABC
Col3a1,0.0055491957,6.326545,ABC
Slc36a2,0.60699457,9.730241,ACMB
Myoc,0.5822105,9.606743,ACMB
Agt,0.5103342,8.241895,ACMB
C4b,0.41812217,7.46799,ACMB
Gfap,0.3641173,10.321776,ACMB
Igsf1,0.3169813,6.5732627,ACMB
Cidea,0.31124872,6.5341673,ACMB
Hspb8,0.29760212,6.4202294,ACMB
X4833423E24Rik,0.26466998,8.373742,ACMB
Sema3b,0.17222972,5.4912868,ACMB
Padi2,0.14961039,5.921101,ACMB
Aqp4,0.14875992,8.152672,ACMB
Lrig1,0.12495525,5.007806,ACMB
Lgi4,0.122351095,5.786536,ACMB
Atoh8,0.120918214,5.7796254,ACMB
X3110079O15Rik,0.11796561,5.2030144,ACMB
Fxyd1,0.11255281,7.125914,ACMB
Itih3,0.11162465,5.2283673,ACMB
Aspg,0.11081528,5.7358866,ACMB
Pcx,0.10377452,4.2908497,ACMB
Kcnj16,0.102225184,5.321592,ACMB
Cpxm2,0.10182248,5.2126565,ACMB
Mamdc2,0.10096918,5.8762927,ACMB
Aldh1a1,0.09964817,5.2243724,ACMB
Pla2g3,0.09867722,4.6282883,ACMB
Rnase1,0.094988815,5.5362787,ACMB
Mgst1,0.09490043,5.296545,ACMB
Fzd10,0.08707798,5.1559587,ACMB
Il6st,0.079775594,4.7192073,ACMB
Lcat,0.07932082,5.535799,ACMB
Ednrb,0.07256296,5.297548,ACMB
Wif1,0.07177049,5.452521,ACMB
Tom1l1,0.07095269,4.501341,ACMB
Rarres1,0.0697007,5.0727906,ACMB
A2m,0.06761184,5.807448,ACMB
Tnc,0.06590086,5.066582,ACMB
Slc25a18,0.065855905,5.5671425,ACMB
Emb,0.06367433,4.523634,ACMB
Adamts9,0.061863616,4.6129694,ACMB
X5930412G12Rik,0.061393503,4.5071645,ACMB
Aplnr,0.06126512,5.2871013,ACMB
Emp2,0.06041544,4.7555695,ACMB
Serpina3n,0.059769284,4.1459394,ACMB
Spag5,0.05858181,4.313547,ACMB
Fbxo2,0.057590406,5.6715198,ACMB
Cd44,0.05623987,4.518648,ACMB
RP24.136L4.5,0.05572054,5.314833,ACMB
Fabp7,0.055326235,6.33812,ACMB
Pdgfd,0.054095805,4.653427,ACMB
Crlf1,0.05373118,4.2287493,ACMB
Aldh1l1,0.053125802,4.799218,ACMB
Slc22a4,0.05256445,4.3854103,ACMB
Lxn,0.05047214,4.9211802,ACMB
Slc14a1,0.049037796,4.9206715,ACMB
Ptchd2,0.0489983,4.227142,ACMB
Ccdc3,0.048526026,4.5775914,ACMB
Mlc1,0.04633645,5.956169,ACMB
Bmpr1a,0.045466855,3.6319587,ACMB
Scd1,0.044915743,4.394695,ACMB
Lrrc55,0.04380548,4.2204194,ACMB
Pygb,0.043594483,4.580416,ACMB
Smoc1,0.042349134,3.8540788,ACMB
Tmem47,0.04227295,4.750628,ACMB
Cyp2j9,0.042051945,4.475583,ACMB
Nqo1,0.04098783,4.4111824,ACMB
Ntsr2,0.04001159,6.099249,ACMB
Igfbp5,0.039962888,4.670733,ACMB
Slc38a1,0.038974825,4.598584,ACMB
Car3,0.038887553,5.35197,ACMB
Gpld1,0.03887468,4.0609155,ACMB
Id4,0.038800027,4.5219917,ACMB
Gdpd2,0.038128097,4.4626474,ACMB
X2310022B05Rik,0.037650555,4.2274203,ACMB
S100a6,0.037629254,4.485337,ACMB
Hrsp12,0.036534056,3.749709,ACMB
Man1c1,0.036315963,3.6169953,ACMB
Bag3,0.036268722,3.6780229,ACMB
Slc16a1,0.035869025,4.4797444,ACMB
Prrx2,0.035588987,4.9346495,ACMB
Sepn1,0.035516854,3.2919104,ACMB
Smo,0.035128843,4.019294,ACMB
Sfxn5,0.035003316,4.1729083,ACMB
Slc4a4,0.03445916,5.005393,ACMB
A330048O09Rik,0.03374603,4.6768456,ACMB
Rfx4,0.03335569,4.546915,ACMB
Fads1,0.031682454,3.9913146,ACMB
Srebf1,0.03145188,3.8075917,ACMB
Antxr1,0.030805668,3.833455,ACMB
Bdh2,0.03074221,5.158886,ACMB
Gdf10,0.030134317,4.1628604,ACMB
Sdc4,0.029969826,4.425317,ACMB
Mpp6,0.029697223,3.4453504,ACMB
Itpkb,0.028953124,4.1306443,ACMB
Gja1,0.027365707,5.525411,ACMB
Cyp2j6,0.027282847,3.6057036,ACMB
Gpr137b,0.027083633,3.2917182,ACMB
Mt2,0.027022718,5.98168,ACMB
Prkag2,0.026922582,3.3281858,ACMB
Slc6a11,0.026736272,4.5298085,ACMB
Plec,0.026574815,3.3792684,ACMB
Ndrg2,0.0265435,5.244847,ACMB
Kcne1l,0.026385402,4.538293,ACMB
Gm14964,0.026350472,4.3288426,ACMB
Col16a1,0.025603648,3.8738732,ACMB
Bmpr1b,0.025174432,4.3139415,ACMB
Adcyap1r1,0.024576023,3.7405846,ACMB
Dtx1,0.024521615,3.227,ACMB
Prdx6,0.024400814,4.9699955,ACMB
Rdh5,0.022810593,4.0405707,ACMB
Cd38,0.02279425,3.9776971,ACMB
Naprt,0.022497764,3.9301815,ACMB
Slc12a4,0.021185178,3.433318,ACMB
Appl2,0.021095233,3.573751,ACMB
Oplah,0.020801893,3.6143584,ACMB
Nnat,0.019959686,4.747856,ACMB
Arhgef26,0.019731393,3.9245138,ACMB
Ncan,0.019543005,3.8082228,ACMB
Pbxip1,0.01925978,3.9901845,ACMB
Ecm2,0.019185541,4.1130924,ACMB
Soat1,0.019170703,3.2056658,ACMB
Clu,0.019169867,5.442534,ACMB
Mmd2,0.019067476,4.340168,ACMB
Sparcl1,0.019033981,5.711415,ACMB
Cpxm1,0.01890118,3.9230654,ACMB
Apoc1,0.018811474,4.0344496,ACMB
Dhrs1,0.018807948,2.8863409,ACMB
Syt12,0.018389923,3.208947,ACMB
Sulf2,0.018299317,3.4726205,ACMB
Chpt1,0.017778927,2.9827485,ACMB
Acsl6,0.017734546,3.7225745,ACMB
Rgma,0.017650602,3.2312975,ACMB
Adra2a,0.01760119,3.440426,ACMB
Nkain4,0.017388761,3.7234986,ACMB
Lrfn4,0.017306138,2.9424503,ACMB
Kcnn2,0.017236993,3.4077506,ACMB
